Title,BRYU005_BK_Pos_QE2_HILIC_006: Height,BRYU005_QC_1_Pos_QE2_HILIC_008: Height,BRYU005_Pos_SA0012_QE2_HILIC_010: Height,BRYU005_Pos_SA0002_QE2_HILIC_012: Height,BRYU005_Pos_SA0019_QE2_HILIC_014: Height,BRYU005_Pos_SA0067_QE2_HILIC_016: Height,BRYU005_Pos_SA0070_QE2_HILIC_018: Height,BRYU005_Pos_SA0064_QE2_HILIC_020: Height,BRYU005_Pos_SA0066_QE2_HILIC_022: Height,BRYU005_Pos_SA0054_QE2_HILIC_024: Height,BRYU005_Pos_SA0062_QE2_HILIC_026: Height,BRYU005_Pos_SA0003_QE2_HILIC_028: Height,BRYU005_BK_Pos_QE2_HILIC_030: Height,BRYU005_QC_2_Pos_QE2_HILIC_032: Height,BRYU005_Pos_SA0015_QE2_HILIC_034: Height,BRYU005_Pos_SA0041_QE2_HILIC_036: Height,BRYU005_Pos_SA0004_QE2_HILIC_038: Height,BRYU005_Pos_SA0061_QE2_HILIC_040: Height,BRYU005_Pos_SA0068_QE2_HILIC_042: Height,BRYU005_Pos_SA0007_QE2_HILIC_044: Height,BRYU005_Pos_SA0006_QE2_HILIC_046: Height,BRYU005_Pos_SA0037_QE2_HILIC_048: Height,BRYU005_Pos_SA0044_QE2_HILIC_050: Height,BRYU005_Pos_SA0026_QE2_HILIC_052: Height,BRYU005_BK_Pos_QE2_HILIC_054: Height,BRYU005_QC_3_Pos_QE2_HILIC_056: Height,BRYU005_Pos_SA0021_QE2_HILIC_058: Height,BRYU005_Pos_SA0046_QE2_HILIC_060: Height,BRYU005_Pos_SA0036_QE2_HILIC_062: Height,BRYU005_Pos_SA0059_QE2_HILIC_064: Height,BRYU005_Pos_SA0058_QE2_HILIC_066: Height,BRYU005_Pos_SA0035_QE2_HILIC_068: Height,BRYU005_Pos_SA0033_QE2_HILIC_070: Height,BRYU005_Pos_SA0060_QE2_HILIC_072: Height,BRYU005_Pos_SA0039_QE2_HILIC_074: Height,BRYU005_Pos_SA0045_QE2_HILIC_076: Height,BRYU005_BK_Pos_QE2_HILIC_078: Height,BRYU005_QC_4_Pos_QE2_HILIC_080: Height,BRYU005_Pos_SA0031_QE2_HILIC_082: Height,BRYU005_Pos_SA0043_QE2_HILIC_084: Height,BRYU005_Pos_SA0008_QE2_HILIC_086: Height,BRYU005_Pos_SA0022_QE2_HILIC_088: Height,BRYU005_Pos_SA0051_QE2_HILIC_090: Height,BRYU005_Pos_SA0025_QE2_HILIC_092: Height,BRYU005_Pos_SA0014_QE2_HILIC_094: Height,BRYU005_Pos_SA0069_QE2_HILIC_096: Height,BRYU005_Pos_SA0032_QE2_HILIC_098: Height,BRYU005_Pos_SA0005_QE2_HILIC_100: Height,BRYU005_BK_Pos_QE2_HILIC_102: Height,BRYU005_QC_5_Pos_QE2_HILIC_104: Height,BRYU005_Pos_SA0030_QE2_HILIC_106: Height,BRYU005_Pos_SA0010_QE2_HILIC_108: Height,BRYU005_Pos_SA0016_QE2_HILIC_110: Height,BRYU005_Pos_SA0057_QE2_HILIC_112: Height,BRYU005_Pos_SA0023_QE2_HILIC_114: Height,BRYU005_Pos_SA0042_QE2_HILIC_116: Height,BRYU005_Pos_SA0071_QE2_HILIC_118: Height,BRYU005_Pos_SA0040_QE2_HILIC_120: Height,BRYU005_Pos_SA0020_QE2_HILIC_122: Height,BRYU005_Pos_SA0029_QE2_HILIC_124: Height,BRYU005_BK_Pos_QE2_HILIC_126: Height,BRYU005_QC_6_Pos_QE2_HILIC_128: Height,BRYU005_Pos_SA0065_QE2_HILIC_130: Height,BRYU005_Pos_SA0024_QE2_HILIC_132: Height,BRYU005_Pos_SA0028_QE2_HILIC_134: Height,BRYU005_Pos_SA0053_QE2_HILIC_136: Height,BRYU005_Pos_SA0001_QE2_HILIC_138: Height,BRYU005_Pos_SA0017_QE2_HILIC_140: Height,BRYU005_Pos_SA0048_QE2_HILIC_142: Height,BRYU005_Pos_SA0056_QE2_HILIC_144: Height,BRYU005_Pos_SA0047_QE2_HILIC_146: Height,BRYU005_Pos_SA0055_QE2_HILIC_148: Height,BRYU005_BK_Pos_QE2_HILIC_150: Height,BRYU005_QC_7_Pos_QE2_HILIC_152: Height,BRYU005_Pos_SA0013_QE2_HILIC_154: Height,BRYU005_Pos_SA0011_QE2_HILIC_156: Height,BRYU005_Pos_SA0038_QE2_HILIC_158: Height,BRYU005_Pos_SA0009_QE2_HILIC_160: Height,BRYU005_Pos_SA0052_QE2_HILIC_162: Height,BRYU005_Pos_SA0063_QE2_HILIC_164: Height,BRYU005_Pos_SA0034_QE2_HILIC_166: Height,BRYU005_Pos_SA0072_QE2_HILIC_168: Height,BRYU005_Pos_SA0018_QE2_HILIC_170: Height,BRYU005_Pos_SA0027_QE2_HILIC_172: Height,BRYU005_BK_Pos_QE2_HILIC_174: Height,BRYU005_QC_8_Pos_QE2_HILIC_176: Height,BRYU005_Pos_SA0049_QE2_HILIC_178: Height,BRYU005_Pos_SA0050_QE2_HILIC_180: Height,BRYU005_Pos_SA0082_QE2_HILIC_182: Height,BRYU005_Pos_SA0115_QE2_HILIC_184: Height,BRYU005_Pos_SA0135_QE2_HILIC_186: Height,BRYU005_Pos_SA0116_QE2_HILIC_188: Height,BRYU005_Pos_SA0084_QE2_HILIC_190: Height,BRYU005_Pos_SA0137_QE2_HILIC_192: Height,BRYU005_Pos_SA0080_QE2_HILIC_194: Height,BRYU005_Pos_SA0106_QE2_HILIC_196: Height,BRYU005_BK_Pos_QE2_HILIC_198: Height,BRYU005_QC_9_Pos_QE2_HILIC_200: Height,BRYU005_Pos_SA0136_QE2_HILIC_202: Height,BRYU005_Pos_SA0109_QE2_HILIC_204: Height,BRYU005_Pos_SA0139_QE2_HILIC_206: Height,BRYU005_Pos_SA0108_QE2_HILIC_208: Height,BRYU005_Pos_SA0083_QE2_HILIC_210: Height,BRYU005_Pos_SA0140_QE2_HILIC_212: Height,BRYU005_Pos_SA0124_QE2_HILIC_214: Height,BRYU005_Pos_SA0122_QE2_HILIC_216: Height,BRYU005_Pos_SA0073_QE2_HILIC_218: Height,BRYU005_Pos_SA0118_QE2_HILIC_220: Height,BRYU005_BK_Pos_QE2_HILIC_222: Height,BRYU005_QC_10_Pos_QE2_HILIC_224: Height,BRYU005_Pos_SA0142_QE2_HILIC_226: Height,BRYU005_Pos_SA0130_QE2_HILIC_228: Height,BRYU005_Pos_SA0138_QE2_HILIC_230: Height,BRYU005_Pos_SA0127_QE2_HILIC_232: Height,BRYU005_Pos_SA0113_QE2_HILIC_234: Height,BRYU005_Pos_SA0101_QE2_HILIC_236: Height,BRYU005_Pos_SA0092_QE2_HILIC_238: Height,BRYU005_Pos_SA0131_QE2_HILIC_240: Height,BRYU005_Pos_SA0104_QE2_HILIC_242: Height,BRYU005_Pos_SA0119_QE2_HILIC_244: Height,BRYU005_BK_Pos_QE2_HILIC_246: Height,BRYU005_QC_11_Pos_QE2_HILIC_248: Height,BRYU005_Pos_SA0133_QE2_HILIC_250: Height,BRYU005_Pos_SA0117_QE2_HILIC_252: Height,BRYU005_Pos_SA0129_QE2_HILIC_254: Height,BRYU005_Pos_SA0079_QE2_HILIC_256: Height,BRYU005_Pos_SA0091_QE2_HILIC_258: Height,BRYU005_Pos_SA0111_QE2_HILIC_260: Height,BRYU005_Pos_SA0112_QE2_HILIC_262: Height,BRYU005_Pos_SA0120_QE2_HILIC_264: Height,BRYU005_Pos_SA0097_QE2_HILIC_266: Height,BRYU005_Pos_SA0088_QE2_HILIC_268: Height,BRYU005_BK_Pos_QE2_HILIC_270: Height,BRYU005_QC_12_Pos_QE2_HILIC_272: Height,BRYU005_Pos_SA0077_QE2_HILIC_274: Height,BRYU005_Pos_SA0105_QE2_HILIC_276: Height,BRYU005_Pos_SA0098_QE2_HILIC_278: Height,BRYU005_Pos_SA0099_QE2_HILIC_280: Height,BRYU005_Pos_SA0141_QE2_HILIC_282: Height,BRYU005_Pos_SA0095_QE2_HILIC_284: Height,BRYU005_Pos_SA0085_QE2_HILIC_286: Height,BRYU005_Pos_SA0143_QE2_HILIC_288: Height,BRYU005_Pos_SA0090_QE2_HILIC_290: Height,BRYU005_Pos_SA0078_QE2_HILIC_292: Height,BRYU005_BK_Pos_QE2_HILIC_294: Height,BRYU005_QC_13_Pos_QE2_HILIC_296: Height,BRYU005_Pos_SA0114_QE2_HILIC_298: Height,BRYU005_Pos_SA0087_QE2_HILIC_300: Height,BRYU005_Pos_SA0100_QE2_HILIC_302: Height,BRYU005_Pos_SA0121_QE2_HILIC_304: Height,BRYU005_Pos_SA0102_QE2_HILIC_306: Height,BRYU005_Pos_SA0093_QE2_HILIC_308: Height,BRYU005_Pos_SA0123_QE2_HILIC_310: Height,BRYU005_Pos_SA0096_QE2_HILIC_312: Height,BRYU005_Pos_SA0144_QE2_HILIC_314: Height,BRYU005_Pos_SA0076_QE2_HILIC_316: Height,BRYU005_BK_Pos_QE2_HILIC_318: Height,BRYU005_QC_14_Pos_QE2_HILIC_320: Height,BRYU005_Pos_SA0089_QE2_HILIC_322: Height,BRYU005_Pos_SA0128_QE2_HILIC_324: Height,BRYU005_Pos_SA0134_QE2_HILIC_326: Height,BRYU005_Pos_SA0086_QE2_HILIC_328: Height,BRYU005_Pos_SA0075_QE2_HILIC_330: Height,BRYU005_Pos_SA0074_QE2_HILIC_332: Height,BRYU005_Pos_SA0103_QE2_HILIC_334: Height,BRYU005_Pos_SA0125_QE2_HILIC_336: Height,BRYU005_Pos_SA0081_QE2_HILIC_338: Height,BRYU005_Pos_SA0126_QE2_HILIC_340: Height,BRYU005_BK_Pos_QE2_HILIC_342: Height,BRYU005_QC_15_Pos_QE2_HILIC_344: Height,BRYU005_Pos_SA0110_QE2_HILIC_346: Height,BRYU005_Pos_SA0132_QE2_HILIC_348: Height,BRYU005_Pos_SA0094_QE2_HILIC_350: Height,BRYU005_Pos_SA0107_QE2_HILIC_352: Height,BRYU005_Pos_SA0166_QE2_HILIC_354: Height,BRYU005_Pos_SA0196_QE2_HILIC_356: Height,BRYU005_Pos_SA0195_QE2_HILIC_358: Height,BRYU005_Pos_SA0169_QE2_HILIC_360: Height,BRYU005_Pos_SA0188_QE2_HILIC_362: Height,BRYU005_Pos_SA0149_QE2_HILIC_364: Height,BRYU005_BK_Pos_QE2_HILIC_366: Height,BRYU005_QC_16_Pos_QE2_HILIC_368: Height,BRYU005_Pos_SA0168_QE2_HILIC_370: Height,BRYU005_Pos_SA0183_QE2_HILIC_372: Height,BRYU005_Pos_SA0206_QE2_HILIC_374: Height,BRYU005_Pos_SA0157_QE2_HILIC_376: Height,BRYU005_Pos_SA0177_QE2_HILIC_378: Height,BRYU005_Pos_SA0159_QE2_HILIC_380: Height,BRYU005_Pos_SA0213_QE2_HILIC_382: Height,BRYU005_Pos_SA0212_QE2_HILIC_384: Height,BRYU005_Pos_SA0171_QE2_HILIC_386: Height,BRYU005_Pos_SA0173_QE2_HILIC_388: Height,BRYU005_BK_Pos_QE2_HILIC_390: Height,BRYU005_QC_17_Pos_QE2_HILIC_392: Height,BRYU005_Pos_SA0152_QE2_HILIC_394: Height,BRYU005_Pos_SA0190_QE2_HILIC_396: Height,BRYU005_Pos_SA0162_QE2_HILIC_398: Height,BRYU005_Pos_SA0182_QE2_HILIC_400: Height,BRYU005_Pos_SA0200_QE2_HILIC_402: Height,BRYU005_Pos_SA0214_QE2_HILIC_404: Height,BRYU005_Pos_SA0167_QE2_HILIC_406: Height,BRYU005_Pos_SA0203_QE2_HILIC_408: Height,BRYU005_Pos_SA0145_QE2_HILIC_410: Height,BRYU005_Pos_SA0158_QE2_HILIC_412: Height,BRYU005_BK_Pos_QE2_HILIC_414: Height,BRYU005_QC_18_Pos_QE2_HILIC_416: Height,BRYU005_Pos_SA0148_QE2_HILIC_418: Height,BRYU005_Pos_SA0211_QE2_HILIC_420: Height,BRYU005_Pos_SA0178_QE2_HILIC_422: Height,BRYU005_Pos_SA0164_QE2_HILIC_424: Height,BRYU005_Pos_SA0163_QE2_HILIC_426: Height,BRYU005_Pos_SA0205_QE2_HILIC_428: Height,BRYU005_Pos_SA0210_QE2_HILIC_430: Height,BRYU005_Pos_SA0209_QE2_HILIC_432: Height,BRYU005_Pos_SA0185_QE2_HILIC_434: Height,BRYU005_Pos_SA0156_QE2_HILIC_436: Height,BRYU005_BK_Pos_QE2_HILIC_438: Height,BRYU005_QC_19_Pos_QE2_HILIC_440: Height,BRYU005_Pos_SA0160_QE2_HILIC_442: Height,BRYU005_Pos_SA0198_QE2_HILIC_444: Height,BRYU005_Pos_SA0184_QE2_HILIC_446: Height,BRYU005_Pos_SA0172_QE2_HILIC_448: Height,BRYU005_Pos_SA0202_QE2_HILIC_450: Height,BRYU005_Pos_SA0154_QE2_HILIC_452: Height,BRYU005_Pos_SA0151_QE2_HILIC_454: Height,BRYU005_Pos_SA0146_QE2_HILIC_456: Height,BRYU005_Pos_SA0187_QE2_HILIC_458: Height,BRYU005_BK_Pos_QE2_HILIC_460: Height,BRYU005_QC_20_Pos_QE2_HILIC_462: Height,BRYU005_Pos_SA0201_QE2_HILIC_464: Height,BRYU005_Pos_SA0170_QE2_HILIC_466: Height,BRYU005_Pos_SA0197_QE2_HILIC_468: Height,BRYU005_Pos_SA0147_QE2_HILIC_470: Height,BRYU005_Pos_SA0193_QE2_HILIC_472: Height,BRYU005_Pos_SA0155_QE2_HILIC_474: Height,BRYU005_Pos_SA0150_QE2_HILIC_476: Height,BRYU005_Pos_SA0194_QE2_HILIC_478: Height,BRYU005_Pos_SA0153_QE2_HILIC_480: Height,BRYU005_BK_Pos_QE2_HILIC_482: Height,BRYU005_QC_21_Pos_QE2_HILIC_484: Height,BRYU005_Pos_SA0191_QE2_HILIC_486: Height,BRYU005_Pos_SA0192_QE2_HILIC_488: Height,BRYU005_Pos_SA0207_QE2_HILIC_490: Height,BRYU005_Pos_SA0181_QE2_HILIC_492: Height,BRYU005_Pos_SA0208_QE2_HILIC_494: Height,BRYU005_Pos_SA0179_QE2_HILIC_496: Height,BRYU005_Pos_SA0174_QE2_HILIC_498: Height,BRYU005_Pos_SA0176_QE2_HILIC_500: Height,BRYU005_Pos_SA0165_QE2_HILIC_502: Height,BRYU005_BK_Pos_QE2_HILIC_504: Height,BRYU005_QC_22_Pos_QE2_HILIC_506: Height,BRYU005_Pos_SA0186_QE2_HILIC_508: Height,BRYU005_Pos_SA0180_QE2_HILIC_510: Height,BRYU005_Pos_SA0204_QE2_HILIC_512: Height,BRYU005_Pos_SA0215_QE2_HILIC_514: Height,BRYU005_Pos_SA0189_QE2_HILIC_516: Height,BRYU005_Pos_SA0175_QE2_HILIC_518: Height,BRYU005_Pos_SA0161_QE2_HILIC_520: Height,BRYU005_Pos_SA0199_QE2_HILIC_522: Height,BRYU005_Pos_SA0216_QE2_HILIC_524: Height,BRYU005_BK_23_Pos_QE2_HILIC_526: Height,BRYU005_QC_23_Pos_QE2_HILIC_528: Height
1_Methionine_d8,5251958.0,8419060.0,9180837.0,10006559.0,8993450.0,9527146.0,10233295.0,6671995.5,6891276.0,8955331.0,6444235.0,10026477.0,7892230.5,9533214.0,9242653.0,6972109.5,8581997.0,9297286.0,9094455.0,8672963.0,9158821.0,8746769.0,8358093.5,9722985.0,6440508.5,4971639.0,5537724.5,9654029.0,5971384.5,10055277.0,9433542.0,9028711.0,9333358.0,9595763.0,10076609.0,6603512.0,8028129.0,7604565.0,9167768.0,8552748.0,8517775.0,9950496.0,10956210.0,9504067.0,6128432.0,6358396.5,9341676.0,8293476.5,6460279.5,8233461.5,8380632.5,8249969.5,6091149.5,8860947.0,6093189.5,6323297.5,6302640.5,6168573.5,8611222.0,8664556.0,6805787.0,8054324.5,6758916.0,5961905.0,8325838.5,8832955.0,10280887.0,6800134.0,6118177.0,8762395.0,6312253.5,8678697.0,6942835.0,8348619.0,8421191.0,8501072.0,5837886.5,9045263.0,8830762.0,9231337.0,8301584.0,6489994.5,5862058.5,10356491.0,6546873.0,8438370.0,9521217.0,10457227.0,4696839.5,8849934.0,9006261.0,9455462.0,8722891.0,4541092.0,9847182.0,4423343.5,5975799.5,7769989.0,4740996.5,8889460.0,9366937.0,9023640.0,7125613.0,7962842.5,5815300.0,9992109.0,11057317.0,12222268.0,6187683.5,8041034.0,8612179.0,4383137.5,4856760.5,6854143.5,4864203.0,7589381.5,8753799.0,8423060.0,8554825.0,4835002.0,6744943.0,7863686.0,9159027.0,5606686.5,6166265.5,5249430.0,9356618.0,9457593.0,4598852.0,4970346.0,10436500.0,5256754.0,6586431.5,8368078.0,6689189.0,7897933.5,10129181.0,10304654.0,5748403.0,,8453296.0,4769371.0,5806093.5,4150853.5,6105538.0,7454523.5,5125124.0,9404607.0,6278071.5,10846720.0,7481470.5,4749982.0,9852930.0,5037408.5,4364132.0,5196630.5,6625066.5,7337429.0,5159437.5,8288255.5,5023917.5,4584961.5,10039341.0,9344595.0,5014105.0,7767446.0,7424005.5,7569372.5,6966682.0,7581402.5,,9387129.0,9361471.0,8235015.5,9287389.0,8498408.0,9800144.0,12020466.0,8783409.0,4829219.5,6615256.5,7395201.5,4810174.5,8875622.0,5003166.0,9317398.0,8831725.0,8766774.0,5599954.0,8996486.0,10250288.0,9038867.0,6078437.5,8377815.0,8450562.0,9442757.0,5163223.5,5151906.0,8657826.0,9988965.0,4732727.5,4390059.5,12653070.0,5001160.5,6827716.5,7643149.5,8685581.0,9273873.0,5702612.5,8905709.0,10029893.0,9420611.0,4935938.0,5183787.0,4906174.0,8952659.0,6181265.5,8345295.5,4896669.5,8896947.0,4481360.5,8351427.5,5478702.5,5884213.5,4802034.5,10255771.0,8801412.0,6890307.5,8183659.0,8710170.0,11253816.0,8145148.0,10570023.0,12440292.0,4741810.0,5124174.5,10928628.0,9361162.0,6588545.5,7548259.0,4603268.5,4944630.5,9486997.0,8800405.0,4420337.0,4640688.5,8900801.0,8447939.0,5031902.5,6510861.0,7812611.0,4810361.5,9603513.0,8871019.0,5178964.5,5137074.0,5790356.0,4866549.5,5710097.0,4815018.0,6786455.0,7414484.5
1_1_Methylnicotinamide_d3,40719924.0,49417188.0,46282732.0,53702724.0,28857860.0,30043938.0,28963206.0,48274336.0,47655532.0,48307360.0,46846892.0,51574920.0,49052588.0,53370756.0,48493312.0,49059056.0,48081792.0,46584768.0,29757618.0,47865960.0,47878840.0,47400376.0,28617720.0,49600928.0,48248176.0,44689196.0,27888622.0,29052972.0,50841736.0,45139828.0,48900492.0,46406660.0,49088908.0,50873728.0,47735648.0,28893418.0,49738104.0,50039616.0,46583840.0,28751834.0,49330972.0,27936718.0,49977916.0,52332696.0,48523112.0,30430336.0,45111684.0,46206628.0,43521412.0,47337248.0,47435816.0,50592400.0,45405764.0,47595540.0,29744964.0,46880596.0,29858836.0,45302880.0,29177462.0,48691960.0,46479824.0,47815344.0,50543508.0,28080854.0,46672496.0,45480120.0,50430552.0,45658928.0,28931618.0,46670888.0,29923082.0,45334104.0,46808612.0,47222624.0,46259536.0,47652944.0,46099520.0,48088304.0,46511600.0,48853172.0,47915860.0,29556558.0,46264472.0,48621904.0,42873344.0,44893472.0,48115552.0,47123432.0,48405740.0,45790168.0,48132388.0,49508216.0,47159976.0,49679332.0,50226200.0,45486700.0,40323808.0,46405676.0,47524660.0,48334752.0,47410556.0,49351520.0,45519924.0,49452268.0,46280280.0,52536284.0,51733708.0,58654020.0,43331432.0,42628228.0,44254304.0,48073392.0,48547012.0,59314532.0,48159664.0,47349892.0,43153660.0,47072084.0,47152620.0,44748532.0,44540380.0,46562316.0,47301708.0,28587532.0,47715576.0,53078656.0,46369232.0,44807456.0,44871812.0,45976104.0,49744612.0,52286364.0,44863304.0,48605656.0,46186544.0,46080112.0,51307464.0,50373308.0,29481970.0,,46012348.0,45107916.0,48804460.0,43029676.0,41790168.0,45559644.0,48318616.0,43522228.0,47516056.0,52170676.0,46039492.0,29225184.0,49656804.0,46683632.0,48349520.0,48534276.0,46275092.0,45554580.0,48894128.0,46480540.0,47160480.0,44959176.0,51010224.0,51945592.0,44410568.0,46225260.0,47698996.0,46283288.0,45269276.0,42904636.0,,45023588.0,45445048.0,46869820.0,46082504.0,44327028.0,52634956.0,52950704.0,45795896.0,45188612.0,45684744.0,43462580.0,48517332.0,45137700.0,45931268.0,47032512.0,46676860.0,46852924.0,30112156.0,47330584.0,47316864.0,47041840.0,42762784.0,43992856.0,46727564.0,45625260.0,50604824.0,45444232.0,47126856.0,46241460.0,48647172.0,46648352.0,51091764.0,47575480.0,45261388.0,43955348.0,48015164.0,46553880.0,46861764.0,46328916.0,46911760.0,46810728.0,47791992.0,50381084.0,45497240.0,45969472.0,44251240.0,44232136.0,46306648.0,43744216.0,46728248.0,46057500.0,45251548.0,46757352.0,46203156.0,49414144.0,48429968.0,43237144.0,43768460.0,48421744.0,47777176.0,45629408.0,48112092.0,52378968.0,46144168.0,45808920.0,51048876.0,48675728.0,45917304.0,40145656.0,44055936.0,45262284.0,45391368.0,45650256.0,45101668.0,47271000.0,44223068.0,43678068.0,38866412.0,43127620.0,45819492.0,43706452.0,48418976.0,47601328.0,42194280.0,38972956.0,43751220.0,46968636.0,44474792.0,45002488.0,42263776.0,40929516.0
1_Creatinine_d3,176846128.0,190480640.0,192321456.0,141092448.0,201284224.0,215374592.0,207225424.0,190861392.0,201165152.0,193860944.0,200595376.0,230973632.0,200794272.0,203550464.0,195670608.0,191448736.0,160745776.0,188287920.0,209729184.0,202398048.0,181864704.0,191035936.0,201733056.0,133690872.0,187562176.0,155730784.0,199699520.0,195791040.0,181821984.0,188135056.0,198230720.0,182095808.0,197188016.0,188526032.0,193856416.0,197628800.0,199901312.0,197293440.0,176734304.0,188425056.0,195296400.0,205817632.0,219653120.0,130251360.0,184449136.0,200040944.0,183919728.0,190288528.0,173386256.0,186961616.0,181117184.0,176505136.0,181650960.0,187738160.0,193667344.0,187824432.0,201128896.0,189444768.0,195518640.0,179723136.0,181538112.0,185578752.0,189816320.0,197765808.0,155418416.0,193028304.0,134427696.0,178662272.0,196184064.0,175624288.0,199576048.0,184200880.0,178525648.0,181451360.0,186655776.0,185506400.0,178025872.0,194715520.0,146225968.0,176289648.0,182023056.0,185454096.0,177355984.0,216535136.0,172243312.0,174481472.0,123855776.0,132780360.0,190593360.0,187961904.0,188834704.0,182555200.0,186886928.0,189017888.0,194767072.0,190571152.0,153970784.0,181991520.0,187184400.0,186904208.0,187627392.0,179964400.0,189938144.0,188833472.0,83700248.0,80211008.0,87634560.0,236853008.0,170041424.0,176511376.0,186856928.0,188088448.0,195425200.0,228994080.0,195723040.0,175880512.0,188033728.0,184502432.0,190191536.0,186388032.0,177140256.0,171951136.0,182949904.0,177544672.0,179268768.0,210809040.0,196305904.0,179285536.0,185955008.0,178111696.0,82756000.0,220777248.0,181555248.0,178645168.0,180303152.0,190648848.0,85896056.0,210873888.0,189957360.0,,195548672.0,176741936.0,198896944.0,177943664.0,161506704.0,166138800.0,181578544.0,180298192.0,89332528.0,73588088.0,181989472.0,188243888.0,201722944.0,188730064.0,173968000.0,90265872.0,182601184.0,176416752.0,190958768.0,179730784.0,181780016.0,178666496.0,198910176.0,77473296.0,176085920.0,171481008.0,183566064.0,167547856.0,173032032.0,161692736.0,,186258864.0,171198720.0,176515872.0,181636096.0,94836448.0,207210112.0,106022024.0,181306816.0,175963504.0,165917744.0,169944224.0,185334256.0,167842768.0,181382592.0,175448608.0,177387008.0,169595296.0,184197056.0,186042064.0,195268976.0,170337120.0,167146208.0,162145952.0,180699392.0,174731920.0,181874320.0,172471152.0,174799696.0,177465024.0,184331904.0,176516384.0,87174728.0,175708448.0,171261712.0,166501680.0,93225696.0,188365520.0,184051616.0,173363616.0,189683392.0,166729088.0,176565760.0,193557168.0,188960944.0,174447840.0,167586784.0,171096144.0,178032736.0,167083360.0,168409408.0,95840832.0,178531952.0,182803600.0,169179424.0,86357288.0,176285424.0,160036736.0,167454496.0,177386752.0,84594864.0,174370864.0,198637312.0,90789936.0,168759312.0,174155760.0,83822776.0,179234304.0,163346368.0,150842752.0,179011808.0,181896000.0,173370960.0,167217168.0,176388704.0,180282160.0,175869824.0,175193328.0,181659824.0,159716976.0,171273040.0,176494992.0,168977808.0,177468656.0,165859296.0,170094800.0,156173424.0,180537808.0,166725440.0,171146528.0,159774288.0,161333376.0
