InChIKey,BRYU005:RT (min),diffRETENTIONTIME
AEMOLEFTQBMNLQ-AQKNRBDQSA-N,9.19945,0.09110800000000019
AKEUNCKRJATALU-UHFFFAOYSA-N,1.0975311,0.028320899999999982
ALRHLSYJTWAHJZ-UHFFFAOYSA-N,2.3114786,0.08280440000000011
AQTYXAPIHMXAAV-UHFFFAOYSA-N,1.1661398,0.04104079999999999
AYFVYJQAPQTCCC-UHFFFAOYSA-N,8.321062,0.08354599999999834
BTJIUGUIPKRLHP-UHFFFAOYSA-N,,
BXFFHSIDQOFMLE-UHFFFAOYSA-N,1.379081,0.013381000000000087
BYXCFUMGEBZDDI-UHFFFAOYSA-N,,
CBQJSKKFNMDLON-UHFFFAOYSA-N,,
CCVYRRGZDBSHFU-UHFFFAOYSA-N,,
CGFRVKXGZRODPA-UHFFFAOYSA-N,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,,
CZMRCDWAGMRECN-UGDNZRGBSA-N,8.519939,0.15693900000000127
CZWCKYRVOZZJNM-USOAJAOKSA-N,1.379081,0.027231000000000005
DCICDMMXFIELDF-UHFFFAOYSA-N,,
DCXYFEDJOCDNAF-REOHCLBHSA-N,8.796796,0.11756200000000128
DDRJAANPRJIHGJ-UHFFFAOYSA-N,4.95444,0.038156999999999996
DRTQHJPVMGBUCF-XVFCMESISA-N,5.00799,0.18017400000000006
DTERQYGMUDWYAZ-ZETCQYMHSA-N,,
DUUGKQCEGZLZNO-UHFFFAOYSA-N,,
FDGQSTZJBFJUBT-UHFFFAOYSA-N,5.00799,0.09724000000000022
FJKROLUGYXJWQN-UHFFFAOYSA-N,1.4729888,0.03529420000000005
GHOKWGTUZJEAQD-UHFFFAOYSA-N,3.465205,0.04845500000000014
HCZHHEIFKROPDY-UHFFFAOYSA-N,6.2962894,0.14608940000000015
HEBKCHPVOIAQTA-QWWZWVQMSA-N,7.1285086,0.19179160000000017
HNDVDQJCIGZPNO-YFKPBYRVSA-N,9.46422,0.065885999999999
HNEGQIOMVPPMNR-IHWYPQMZSA-N,1.7290472,0.06973019999999996
IGMNYECMUMZDDF-UHFFFAOYSA-N,2.7983849999999997,0.01075199999999965
ILGMGHZPXRDCCS-UHFFFAOYSA-N,,
JDHILDINMRGULE-UHFFFAOYSA-N,9.475328,0.06089499999999859
JFCQEDHGNNZCLN-UHFFFAOYSA-N,2.789841,0.16769200000000017
JFLIEFSWGNOPJJ-JTQLQIEISA-N,6.006848000000001,0.156848000000001
JVGVDSSUAVXRDY-UHFFFAOYSA-N,,
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,3.8085907,0.058590699999999885
KBOJOGQFRVVWBH-ZETCQYMHSA-N,8.169437,0.0591039999999996
KDYFGRWQOYBRFD-UHFFFAOYSA-N,4.004002,0.11546500000000037
KSPQDMRTZZYQLM-UHFFFAOYSA-N,,
KTHDTJVBEPMMGL-UHFFFAOYSA-N,,
LOIYMIARKYCTBW-OWOJBTEDSA-N,3.6207432999999996,0.1256567000000004
LXVSANCQXSSLPA-UHFFFAOYSA-N,,
MTCFGRXMJLQNBG-UHFFFAOYSA-N,8.7276125,0.10689550000000025
MYYIAHXIVFADCU-QMMMGPOBSA-N,9.578061,0.10152800000000006
NBIIXXVUZAFLBC-UHFFFAOYSA-N,10.042124000000001,0.061724000000001666
NIDVTARKFBZMOT-PEBGCTIMSA-N,,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,,
NWGZOALPWZDXNG-UHFFFAOYSA-N,,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,,
PMOWTIHVNWZYFI-AATRIKPKSA-N,1.4545742,0.023808800000000074
POJWUDADGALRAB-UHFFFAOYSA-N,5.733168599999999,0.1539015999999993
PTJWIQPHWPFNBW-GBNDHIKLSA-N,7.092025,0.17294199999999904
PXQPEWDEAKTCGB-UHFFFAOYSA-N,7.5100975000000005,0.11318050000000035
PYUSHNKNPOHWEZ-YFKPBYRVSA-N,3.902096,0.06320400000000026
QFDRTQONISXGJA-UHFFFAOYSA-N,6.039430599999999,0.11423959999999855
QIVBCDIJIAJPQS-UHFFFAOYSA-N,6.9192133,0.06633029999999973
QVWAEZJXDYOKEH-UHFFFAOYSA-N,1.3985077,0.032442300000000035
RFCQJGFZUQFYRF-UHFFFAOYSA-N,,
RSPURTUNRHNVGF-IOSLPCCCSA-N,5.642377,0.13322699999999976
RWSXRVCMGQZWBV-UHFFFAOYSA-N,,
SQVRNKJHWKZAKO-LUWBGTNYSA-N,,
SXUXMRMBWZCMEN-ZOQUXTDFSA-N,,
TYFQFVWCELRYAO-UHFFFAOYSA-N,,
UTAIYTHAJQNQDW-KQYNXXCUSA-N,5.8490987,0.1777816999999997
UZTFMUBKZQVKLK-UHFFFAOYSA-N,2.239825,0.08565800000000001
VBUYCZFBVCCYFD-NUNKFHFFSA-N,,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,8.831803,0.030229999999999535
VZCYOOQTPOCHFL-UPHRSURJSA-N,1.7713588,0.04612579999999977
WGNAKZGUSRVWRH-UHFFFAOYSA-N,1.0740805,0.05576950000000003
WHUUTDBJXJRKMK-UHFFFAOYSA-N,8.819799,0.08571599999999968
WLJVNTCWHIRURA-UHFFFAOYSA-N,1.8047832,0.050816799999999995
WNLRTRBMVRJNCN-UHFFFAOYSA-N,2.271521,0.11034599999999983
WRUSVQOKJIDBLP-HWKANZROSA-N,3.084659,2.4000000000246047e-05
WXNXCEHXYPACJF-UHFFFAOYSA-N,,
WXTMDXOMEHJXQO-UHFFFAOYSA-N,3.084659,0.05829100000000009
XGILAAMKEQUXLS-UHFFFAOYSA-N,,
XLBVNMSMFQMKEY-BYPYZUCNSA-N,8.505142999999999,0.1628759999999989
XOAAWQZATWQOTB-UHFFFAOYSA-N,7.8678927,0.13882569999999994
XUYPXLNMDZIRQH-UHFFFAOYSA-N,,
YGSDEFSMJLZEOE-UHFFFAOYSA-N,,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,8.648736999999999,0.09961999999999982
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1.6300073999999998,0.14329939999999985
ZMHLUFWWWPBTIU-UHFFFAOYSA-N,5.8490987,0.06408170000000002
